Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Multiple_Ethinic,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9
106,1,29,1, , ,0,1,5,1,15,2,5,1,30,6,6,6,7,5,3,3,4,5,5,5,4,3,4,3,3,4,3,2,3,3,3,2,3,3,2,3,2,3,2,2,3,3,3,2,3,3,4,3,4,3,2,3,2,2,3,3,2,3,3,1,6,1,6,1,1,5,6,4,3,4,5,6,2,2,1,3,3,5,6,7
310,1,26,1, , ,0,1,1,2, ,2,1,1,3,7,2,5,7,2,4,5,7,2,4,3,6,3,2,4,4,1,2,3,4,2,3,3,2,1,3,2,3,4,1,3,2,3,4,1,2,4,3,1,3,2,3,4,3,1,3,2,4,1,4,5,7,5,2,4,6,5,1,4,3,7,5,5,3,4,8,1,7,5,7,3
311,1,29,7, , ,0,1,1,1,20,2,1,1,6,5,4,4,5,4,6,5,4,4,3,4,4,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,4,3,3,4,3,3,2,3,3,4,3,3,4,4,4,3,3,3,4,4,3,4,4,4,6,5,6,6,5,6,5,4,5,6,6,4,7,6,7,7,4,7,8,6
313,1,33,1, , ,0,1,5,1,20,2,16,1,2,1,4,4,5,4,4,2,4,5,5,5,6,2,2,3,3,2,3,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,3,3,2,5,3,4,2,5,4,3,5,3,5,4,6,5,4,6,5,5,5,5,7
319,1,35,1, , ,0,3,2,1,22,2,1,0,0,2,1,2,6,2,7,7,4,1,6,2,1,1,4,2,1,4,2,1,3,2,1,2,4,1,2,3,2,2,1,4,3,2,1,1,2,1,4,3,2,3,4,4,2,1,1,2,4,1,4,3,7,4,2,6,2,2,1,1,2,6,1,7,1,2,3,5,6,3,6,1
325,1,25,3, , ,0,1,3,1,20,2,2,3,2,6,6,7,5,4,7,5,4,6,7,4,6,3,2,4,3,2,1,3,4,3,2,3,2,4,3,2,3,4,2,3,4,3,2,4,3,2,4,3,3,2,3,2,3,4,3,2,4,4,3,6,3,5,7,4,5,6,4,5,7,5,4,7,5,8,6,8,3,8,5,8
327,1,28,3, , ,0,1,3,1,18,2,2,2,2,5,4,5,3,4,5,6,3,3,3,4,4,4,3,2,4,3,2,3,2,3,3,3,4,2,2,3,3,3,3,3,3,3,1,3,4,2,4,1,3,3,4,2,1,4,2,3,2,4,3,5,4,6,4,5,4,6,4,4,6,5,4,7,6,7,6,8,5,6,6,5
344,1,30,3, , ,0,1,2,1,18,2,3,1,1,5,3,5,5,3,3,4,5,4,3,3,5,3,2,3,3,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3,3,2,2,3,3,2,3,2,1,2,3,3,2,2,2,3,2,3,5,4,3,4,5,4,5,4,3,4,5,4,6,5,4,4,5,4,7,5,4
356,1,37,2, , ,0,1,3,1,21,2,4,4,1,5,6,5,4,6,5,4,5,6,5,6,4,3,3,4,3,2,3,4,3,2,3,3,4,3,3,2,3,3,3,4,3,3,2,3,4,3,2,2,2,3,3,2,2,3,4,3,3,2,3,5,6,5,4,5,6,6,5,4,5,6,5,2,2,3,1,4,7,7,4,5
367,1,28,2, , ,0,1,2,1,21,2,3,1,35,3,6,5,5,5,6,6,5,4,4,3,4,3,4,4,3,3,3,3,2,2,2,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,4,2,2,2,3,1,4,4,4,4,2,3,3,3,5,5,5,5,5,3,4,4,7,7,8,3,3,6,5,6,7
376,1,28,2, , ,0,1,3,1,22,2,2,1,1,5,5,5,5,3,4,5,5,3,5,3,6,3,2,4,3,3,2,3,3,2,3,3,2,3,3,1,2,3,2,3,3,3,2,2,3,3,2,3,3,2,3,2,4,3,3,2,3,2,2,5,4,3,4,6,6,5,4,4,4,5,5,6,4,4,6,4,5,6,4,6
379,1,27,6, , ,0,1,3,1,16,2,7,6,8,1,1,4,7,4,2,4,4,4,4,2,2,1,1,1,1,1,1,1,1,3,1,3,3,2,3,4,4,1,3,1,1,1,1,1,4,1,1,1,3,4,4,3,1,3,4,3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,3,9,9,9,4,3,5
384,1,29,6, , ,0,1,1,1,18,2,1,1,1,6,5,4,7,6,4,6,5,3,5,5,3,3,2,2,4,3,3,4,3,3,1,4,4,2,3,3,3,2,4,3,3,4,2,3,3,2,4,4,4,2,2,2,4,3,3,2,4,3,3,6,7,4,5,5,3,7,6,4,5,5,3,4,2,3,8,6,4,6,8, 
