ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SDQ1,SDQ2,SDQ3,SDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
290,2,44,1,3,1,20,1,2,1,8,2,2,1,2,3,2,7,1,1,3,1,3,2,2,2,6,6,6,2,3,2,2,2,1,2,3,3,2,2,2,2,1,2,3,2,2,5,4,1,5,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6
291,2,31,1,6,1,14,1,21,1,4,4,2,3,3,5,3,3,6,7,7,6,2,1,1,2,7,7,7,3,5,5,3,7,1,2,5,3,2,7,6,2,4,6,2,2,1,5,2,2,2,5,6,6,6,7,5,2,1,7,6,7,2,1,1,1,3,3,3,5,6
292,2,39,1,30,1,17,1,30,1,20,4,3,3,3,3,3,1,3,3,3,3,2,1,1,3,5,6,6,2,1,5,2,5,2,3,3,3,2,4,9,2,1,2,7,5,4,5,4,2,5,5,5,6,6,6,3,2,1,5,6,7,5,6,6,6,6,6,6,4,7
293,1,36,1,2,1,26,2,1,1,5,3,4,4,4,5,4,6,6,6,6,6,3,1,2,1,5,6,4,5,4,4,4,7,4,5,4,4,2,2,1,2,2,2,4,3,5,5,4,4,6,5,5,5,5,5,3,7,7,7,7,7,6,5,5,5,5,5,5,4,5
294,2,23,1,4,1,22,1,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,3,5,3,5,3,3,3,5,2,2,1,2,3,4,6,2,2,5,4,3,6,5,5,1,2,6,5,1,1,4,5,6,6,2,1,2,2,2,3,2,1
295,2,27,1,2,1,17,1,2,1,5,3,2,4,4,6,2,6,6,6,6,6,6,2,2,2,6,6,6,6,3,3,4,4,3,2,2,2,2,2,2,3,1,1,1,1,1,5,3,3,3,5,5,5,5,6,2,6,6,6,6,7,7,7,6,6,2,2,2,2,2
296,1,25,1,4,1,19,2,2,1,5,4,3,3,4,7,3,7,7,7,4,7,5,3,1,7,7,7,7,3,3,4,3,7,2,2,2,2,2,1,1,3,1,1,1,1,1,5,3,1,4,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
297,2,37,1,6,1,20,1,6,1,20,3,4,4,4,1,4,2,1,1,1,1,2,7,7,1,1,1,1,5,5,1,5,1,6,7,7,7,2,2,2,3,1,1,1,1,1,5,4,2,4,5,6,6,7,6,5,7,1,4,7,7,7,7,5,7,4,4,6,4,7
298,1,61,1,1,1,23,2,1,1,0,2,4,6,7,7,7,7,7,7,6,7,5,1,2,2,7,6,6,3,3,7,4,7,6,2,2,2,2,1,1,3,1,1,2,2,2,5,4,4,3,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
299,2,56,1,10,1,17,1,10,1,2,4,5,4,3,4,3,2,3,5,4,3,6,4,5,5,2,2,2,5,5,5,5,5,3,3,4,5,2,4,3,3,2,1,2,3,1,5,2,1,3,5,6,5,6,4,5,3,1,3,6,7,7,1,1,1,3,1,1,2,5
300,2,32,1,8,1,15,1,12,1,4,3,3,3,3,3,3,2,3,3,3,2,2,4,3,4,6,6,7,1,2,3,2,2,2,2,6,3,2,2,3,4,6,5,4,5,3,5,2,2,5,5,6,6,6,5,5,1,1,6,3,7,5,1,3,4,6,7,7,5,5
301,2,26,1,3,1,21,1,4,1,10,5,5,7,6,7,5,5,6,6,7,6,3,5,6,4,4,5,6,5,5,4,4,5,5,4,5,5,2,2,2,4,5,4,5,7,6,5,4,1,5,5,6,6,5,4,4,3,3,5,5,5,5,5,4,5,6,6,5,5,4
302,2,34,1,4,1,23,1,1,1,4,4,5,6,6,7,7,7,3,4,4,5,4,2,1,1,7,5,7,7,6,7,7,7,2,2,2,2,2,1,1,4,2,5,1,1,1,5,4,1,3,5,6,6,6,5,7,1,5,7,7,7,6,5,1,5,5,1,5,5,6
303,2,57,1,8,1,15,1,7,1,10,4,2,3,3,3,3,4,2,2,2,2,2,4,1,2,7,6,6,1,1,3,1,4,1,2,4,3,2,2,2,5,7,8,4,3,3,5,4,3,5,5,7,7,7,6,5,7,6,7,7,7,7,7,7,7,6,6,6,5,6
304,2,45,1,5,1,17,1,2,1,6,4,3,3,3,4,3,4,3,6,6,3,7,1,1,1,7,7,7,1,1,3,4,4,4,2,2,2,2,2,2,5,1,1,1,1,1,5,4,1,5,5,6,7,7,6,7,6,5,7,7,7,7,6,6,6,7,7,7,4,4
305,2,29,1,6,1,18,1,7,1,2,3,6,5,5,2,5,4,3,4,3,3,3,7,7,4,1,1,1,4,2,1,2,6,2,2,4,3,2,2,1,5,1,7,6,7,1,5,4,3,4,5,5,3,5,6,5,6,6,6,3,7,7,5,6,6,6,6,6,5,5
306,2,28,1,3,1,15,1,3,1,6,4,2,2,3,5,3,4,4,4,4,3,3,2,2,4,4,5,5,2,2,3,3,3,2,3,4,3,2,1,1,6,2,2,3,2,2,5,4,4,4,5,6,5,5,6,3,5,2,4,6,7,6,6,5,5,6,5,6,5,5
307,1,38,1,5,1,21,2,5,1,1,3,3,3,3,5,3,5,3,3,3,3,2,2,2,2,3,4,4,3,3,3,3,3,3,2,5,2,2,3,3,6,6,6,2,2,2,5,4,3,5,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
308,1,39,1,3,1,15,2,5,1,17,3,3,3,3,3,2,4,3,3,3,3,5,2,3,3,3,3,2,2,3,2,2,4,2,4,4,4,2,3,2,6,5,7,6,3,4,5,4,2,6,5,5,6,6,5,3,6,4,6,6,6,6,5,6,6,6,6,5,6,2
