Participant,Sex,Age,Ethnicity,DATE,Sexual_orientation,Lifetime_sex_partners,Casual_sex_partners,Intrasexual_Competition_1,Intrasexual_Competition_2,Intrasexual_Competition_3,Intrasexual_Competition_4,Intrasexual_Competition_5,Intrasexual_Competition_6,Intrasexual_Competition_7,Intrasexual_Competition_8,Intrasexual_Competition_9,Intrasexual_Competition_10,Intrasexual_Competition_11,Intrasexual_Competition_12,INTRASEXUAL_COMPETITION_MEAN
177,0,21,0,0,0,14,8,2,3,2,4,3,3,3,3,3,4,4,4,3.16666666666667
27,0,19,0,0,0,0,0,2,4,2,5,2,2,1,1,5,5,3,2,2.83333333333333
61,0,19,0,0,0,1,0,1,2,1,4,1,1,1,1,6,3,1,1,1.91666666666667
260,0,19,2,0,0,2,1,1,2,1,5,1,1,2,1,5,6,7,1,2.75
262,0,19,0,1,0,1,0,4,6,4,5,2,2,4,2,6,6,6,3,4.16666666666667
53,0,18,0,0,0,9,9,1,1,2,2,1,1,1,1,2, , , , 
55,0,18,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0,18,1,0,0,0,0,2,1,5,7,1,5,6,2,7,7,7,4,4.5
62,0,18,0,0,0,3,0,1,1,1,5,1,3,6,1,5,3,1,3,2.58333333333333
138,0,18,6,0,0,6,7,1,1,1,1,1,2,1,1,2,2,1,1,1.25
244,0,18,0,0,0,0,0,3,5,3,5,3,2,2,2,5,5,4,3,3.5
173,0,19,0,0,0,11,8,3,3,3,4,2,2,2,2,4,5,5,4,3.25
21,0,23,0,1,0,5,2,1,1,1,6,1,1,1,1,1,1,1,1,1.41666666666667
66,0,21, ,0,0,0,0,3,5,1,7,1,1,1,1,5,3,3,1,2.66666666666667
65,0,20,0,1,0,2,0,2,5,2,4,2,4,3,1,4,5,5,3,3.33333333333333
165,0,20,0,0,0,1,0,1,1,1,5,1,1,1,1,5,1,6,1,2.08333333333333
193,0,19,0,0,0,8,2,2,2,2,6,2,2,1,3,5,6,5,1,3.08333333333333
164,0,18,0,0,0,1,0,4,4,2,7,1,4,1,1,7,4,6,2,3.58333333333333
227,0,18,0,0,0,1,1,1,1,1,5,1,1,1,1,6,7,5,1,2.58333333333333
228,0,19,0,0,0,2,2,2,3,1,4,1,1,1,1,2,4,1,2,1.91666666666667
144,0,31,0,1,0,28,20,1,1,1,1,1,1,1,1,.3,4,2,1,1.275
216,0,29,0,1,0,16,10,1,1,1,3,1,1,2,1,5,3,2,1,1.83333333333333
252,0,27,0,1,0,20,10,1,2,1,7,1,1,1,1,7,4,5,4,2.91666666666667
58,0,26,0,0,0,2,2,1,3,2,2,1,1,2,1,3,4,2,1,1.91666666666667
15,0,25,0,0,0,0, ,3,3,2,5,2,2,2,1,3,2,1,2,2.33333333333333
26,0,25,0,1,0,7,3,1,2,1,3,1,1,1,1,4,7,7,1,2.5
226,0,24,0,1,0,16,10,3,3,2,7,4,4,5,4,5,5,5,5,4.33333333333333
19,0,23,0,1,0,1,0,2,2,2,2,2,2,3,2,3,3,3,3,2.41666666666667
