ID,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
113,0,1,4,1,7,1,1,7,1,7,1,7,4
114,0,4,2,1,4,4,4,4,4,4,4,4,4
115,0,2,3,2,5,2,3,2,2,3,4,3,5
116,0,3,4,2,3,2,1,1,2,3,3,1,1
117,0,5,6,5,6,2,2,5,2,5,5,5,5
118,0,2,2,4,5,2,2,2,1,6,6,7,2
119,0,1,2,2,4,1,1,2,1,3,3,1,1
120,0,7,2,3,6,1,5,2,1,3,5,3,4
121,0,2,3,2,4,2,2,2,2,3,3,2,2
122,0,2,2,2,6,2,2,2,2,6,7,6,2
123,0,1,2,2,4,1,1,1,1,4,4,5,2
124,0,3,3,2,7,2,4,2,6,5,4,3,2
125,0,1,2,1,4,3,3,3,3,2,2,1,1
126,0,5,3,5,5,2,2,5,2,6,6,6,6
127,0,2,2,1,2,1,1,1,1,1,1,2,3
128,0,2,2,2,4,2,3,2,2,6,3,3,2
129,0,3,4,3,5,2,1,4,1,4,3,2,1
130,0,3,2,3,5,3,2,2,2,6,6,6,3
131,0,3,4,5,6,2,3,3,2,5,5,4,5
132,0,4,5,2,6,3,2,4,3,6,7,7,2
133,0,3,3,3,3,4,4,4,5,5,5,4,2
134,0,4,5,4,6,2,6,2,2,4,6,4,2
135,0,2,1,1,2,2,2,1,1,1,4,3,6
136,0,1,1,1,7,1,1,1,1,5,5,5,1
137,0,2,2,2,6,2,2,1,1,3,3,6,4
138,0,1,2,1,4,2,1,1,1,4,5,5,3
139,0,1,1,2,2,1,1,1,1,6,4,2,1
140,1,2,2,2,4,2,2,2,2,5,2,2,2
141,1,4,3,4,4,2,2,3,1,3,3,3,3
142,1,4,5,5,6,2,1,1,1,1,4,4,1
143,1,4,4,5,5,3,1,1,1,2,2,2,2
144,1,2,2,2,2,2,2,2,2,3,2,2,2
145,1,3,2,4,4,1,1,2,3,3,4,5,3
146,1,2,4,3,4,2,2,1,1,4,2,2,1
147,1,2,1,1,1,1,1,1,1,2,2,1,1
148,1,1,1,1,4,1,1,1,1,1,2,1,1
149,1,3,3,4,4,2,1,2,1,6,5,5,2
150,1,4,4,3,5,4,3,4,3,3,5,4,5
151,1,4,4,2,4,2,2,3,2,5,5,2,4
152,1,2,2,3,2,2,2,2,2,2,3,2,2
153,1,1,1,4,2,1,1,3,1,3,2,1,1
154,1,5,6,3,5,4,3,5,3,7,4,6,4
155,1,2,3,2,4,2,2,2,2,3,3,3,1
156,1,1,2,1,2,1,1,2,1,4,2,1,1
157,1,2,2,2,4,2,1,1,1,2,2,2,2
158,1,4,5,4,5,3,3,3,1,4,4,4,3
