ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4
236,2,27,1, ,1,27,1,1,3,5,5,3,4,5,5,2,6,5,6,6,7,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,4,1,3,5,7,5,7,5,2,6,3,6,-.44201679969636,-1.23675486730071,.964833977758214,.504442937912773
241,2,27,1,1,1,24,1,1,1,6,6,4,6,5,5,5,5,4,5,5,4,7,5,5,5,5,5,7,5,4,5,3,7,6,6,7,5,6,7,7,4,5,5,5,3,4,3,8,7,9,7,5,2,6,7,7,-.44201679969636,.538352118707369,2.53429724824491,1.26317473387174
257,2,31,1,1,2, ,1,1,0,4,5,4,3,3,5,4,5,4,3,2,4,5,6,6,6,6,5,6,6,5,6,3,4,6,4,3,5,5,6,6,5,4,6,6,4,5,3,5,4,3,1,2,8,4,3,6,-.44201679969636,-.349201374296671,.964833977758214,-.254288858046192
263,2,56,1,4,1,27,3,1,2,5,4,4,6,3,6,1,6,5,3,5,6,3,4,6,4,5,6,5,5,6,6,6,6,6,3,2,2,5,6,6,3,4,6,3,4,2,2,4,6,6,7,6,2,7,3,6,-.44201679969636,1.42590561171141,.964833977758214,1.26317473387174
272,2,29,1,2,1,20,2,2,2,3,6,5,5,5,2,4,3,3,5,5,6,2,3,2,3,5,3,2,3,3,3,6,2,2,3,3,2,3,2,5,5,2,3,3,5,6,5,2,2,3,3,4,5,4,6,5,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192
275,2,29,1,2,1,21,2,2,0,6,3,5,6,4,3,6,7,6,5,3,5,3,5,2,4,3,2,4,3,4,4,6,3,1,3,4,3,2,3,2,1,3,5,6,5,5,4,6,9,7,6,8,6,7,9,5,.394169620347785,.538352118707369,.180102342514866,.504442937912773
279,2,44,1,3,2, ,3,3,0,1,1,1,1,2,1,1,1,4,1,4,1,5,5,5,4,5,1,3,3,3,4,4,7,7,6,5,1,2,4,4,5,5,5,4,6,6,6,1,2,1,1,1,2,2,3,1,-.44201679969636,-1.23675486730071,-.604629292728481,-.254288858046192
288,2,28,1,3,1,18,10,15,10,1,3,1,7,1,2,1,2,3,1,3,1,6,6,6,6,6,6,6,7,7,7,6,2,3,2,7,7,7,1,1,7,7,7,7,5,5,6,2,4,4,8,2,2,2,3,2,-.44201679969636,-1.23675486730071,.180102342514866,-1.77175244996412
310,1,26,1,1,2, ,1,1,3,7,2,5,7,2,4,5,7,2,4,3,6,3,2,5,4,6,2,4,5,3,4,6,1,2,6,3,4,2,3,2,3,1,6,4,1,6,4,5,3,4,8,1,7,5,7,3,-.44201679969636,-.349201374296671,.964833977758214,-1.01302065400516
311,1,29,1,1,1,20,1,1,6,5,4,4,5,4,6,5,4,4,3,4,4,3,3,3,4,4,3,2,4,4,4,5,3,2,3,4,4,5,4,3,2,3,4,3,5,6,4,4,7,6,7,7,4,7,8,6,-1.27820321974051,-.349201374296671,.180102342514866,-1.01302065400516
313,1,33,1,5,1,20,16,1,2,1,4,4,5,4,4,2,4,5,5,5,6,5,4,6,4,3,4,5,4,5,4,5,4,6,4,3,5,3,5,4,5,3,4,5,4,4,4,6,5,4,6,5,5,5,5,7,1.23035604039193,-.349201374296671,1.74956561300156,.504442937912773
