ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4
55,1,40,2,7,1,25,4,0,0,4,7,1,6,1,2,2,7,7,1,7,4,4,4,4,4,4,4,5,5,5,5,5,3,2,4,6,7,7,2,2,4,2,3,5,5,6,4,1,1,1,9,1,1,7,6,3,.394169620347785,1.42590561171141,1.74956561300156,-.254288858046192
56,1,34,1,10,1,17,18,1,2,2,2,3,5,4,4,1,2,6,1,4,6,2,2,2,4,2,6,4,4,4,3,2,2,3,4,3,6,6,2,3,3,6,4,5,2,2,2,2,6,6,3,2,6, , , ,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192
57,1,22,2,9,1,14,4,0,0,2,5,5,6,2,2,6,5,5,2,6,3,3,2,3,4,4,5,3,4,5,5,3,2,3,2,6,6,5,1,1,4,3,3,3,3,3,2,1,3,3,9,2,6,7,6,4,1.23035604039193,-1.23675486730071,.180102342514866,.504442937912773
58,1,45,1,20,1,12,25,1,12,2,6,1,6,1,5,1,7,7,1,7,5,6,6,7,6,6,7,6,6,6,6,6,3,2,2,6,7,7,1,1,7,6,7,7,7,7,7,2,6,6,7,3,3,6,5,7,1.23035604039193,.538352118707369,.964833977758214,.504442937912773
59,1,54,2,12,1,15,45,2,0,5,1,5,6,5,6,5,1,5,4,5,3,5,3,6,6,5,7,4,4,4,7,5,4,3,3,5,6,6,2,2,5,3,4,5,4,6,4,3,8,9,8,8,9,6,2,3,.394169620347785,-.349201374296671,.180102342514866,-1.01302065400516
60,1,66,1,6,1,24,13,1,5,2,4,3,6,4,5,3,4,6,2,5,4,1,1,1,1,1,2,2,3,2,3,5,1,2,2,3,4,3,2,1,1,2,2,2,2,4,4,2,7,8,7,9,8,9,7,9,1.23035604039193,-.349201374296671,-.604629292728481,1.26317473387174
61,1,76,2,45,1,18,25,0,0,5,1,6,4,5,5,5,1,4,5,4,1,4,5,5,5,5,5,5,5,5,5,5,4,5,5,7,7,7,4,4,6,4,4,5,1,4,4,1,8,8,8,8,8,6,5,6,-2.11438963978465,-2.12430836030475,-1.38936092797183,-.254288858046192
62,1,59,2,9,1,16,14,1,0,2,1,1,5,2,4,5,2,5,5,5,2,3,3,4,5,4,6,4,4,4,4,5,1,2,2,6,6,6,3,3,5,4,3,4,2,5,2,2,5,5,7,6,8,4,3,4,.394169620347785,-.349201374296671,.180102342514866,-.254288858046192
63,1,35,1,10,1,15,12,1,8,1,5,1,5,1,6,2,5,5,2,5,2,3,3,4,3,4,7,3,2,4,3,1,1,2,4,7,7,7,1,1,6,3,6,4,1,1,1,2,3,5,8,8,8,4,2,2,-.44201679969636,.538352118707369,-.604629292728481,-.254288858046192
64,1,46,1,7,1,20,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,5,4,4,4,4,4,4,2,2,2,4,4,4,4,4,2,5,3,5,5,5,5,5,5,-.44201679969636,-.349201374296671,.180102342514866,-.254288858046192
65,1,48,1,3,1,20,3,1,0,1,7,1,7,1,5,3,7,4,1,4,5,2,2,5,4,1,1,7,7,7,7,7,1,1,1,7,7,7,2,2,2,2,7,1,1,2,2,2,1,1,8,1,1,7,2,4,1.23035604039193,1.42590561171141,.964833977758214,1.26317473387174
66,1,36,2,5,1,23,2,0,0,1,5,1,4,1,2,1,5,4,1,3,3,1,1,1,1,1,1,2,1,1,1,1,5,5,4,1,1,1,3,2,1,1,1,1,3,3,4,1,2,2,6,4,5,7,6,3,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
68,1,28,1,6,1,18,4,1,1,7,5,2,4,2,6,2,6,7,2,7,7,5,6,5,2,6,1,6,6,7,6,7,7,7,7,1,1,3,7,7,2,1,1,4,7,1,7,2,2,2,8,6,8,9,9,9,.394169620347785,.538352118707369,.180102342514866,-2.53048424592309
69,1,53,1,1,1,19,1,1,5,1,2,1,1,1,1,1,1,4,1,4,1,3,6,6,7,6,7,5,5,5,7,5,1,3,4,7,7,7,3,3,7,4,7,5,1,4,1,2,2,2,1,1,1,6,6,6,1.23035604039193,-.349201374296671,-1.38936092797183,-.254288858046192
73,1,35,1,6,1,16,12,1,2,2,7,1,6,7,5,2,7,5,1,6,7,3,2,3,5,3,7,3,3,2,3,3,1,1,1,4,3,4,1,1,2,3,3,4,3,6,3,2,2,3,1,2,5,5,3,2,1.23035604039193,.538352118707369,.180102342514866,.504442937912773
74,1,69,1,5,1,18,3,1,2,1,1,1,5,1,5,1,1,7,2,7,5,6,6,6,2,6,2,4,5,5,3,5,2,1,1,6,3,5,4,4,3,3,3,3,2,4,2,2,3,2,3,3,3,1,1,2,-.44201679969636,-.349201374296671,.180102342514866,-1.01302065400516
75,1,30,1,20,1,16,20,1,15,1,1,1,5,1,1,1,1,6,1,7,1,6,6,5,3,6,1,7,6,7,5,7,4,7,6,1,1,1,4,4,6,7,5,7,7,7,7,2,4,7,6,1,4,5,3,6,1.23035604039193,1.42590561171141,-1.38936092797183,.504442937912773
76,1,30,1,5,1,16,16,1,10,2,6,2,6,2,6,5,6,7,4,6,6,2,2,2,3,2,3,3,3,3,2,2,2,1,2,5,5,6,2,2,2,2,2,2,6,6,2,2,5,6,9,9,9,8,7,6,1.23035604039193,.538352118707369,.180102342514866,.504442937912773
77,1,25,1,4,1,19,2,1,2,6,6,5,6,5,4,6,3,4,5,5,2,3,2,4,3,3,2,4,2,3,3,4,3,2,2,3,2,3,2,3,2,2,2,2,5,6,6,2,2,2,7,6,5,7,6,7,-1.27820321974051,.538352118707369,.964833977758214,1.26317473387174
78,1,34,2,2,1,21,2,0,0,3,6,2,3,3,3,2,5,4,2,4,2,7,7,7,7,6,6,7,6,7,6,6,4,4,4,6,7,6,2,2,7,6,7,7,6,7,6,1,1,1,8,8,8,4,4,2,1.23035604039193,1.42590561171141,1.74956561300156,-.254288858046192
79,1,27,1,4,1,18,10,2,15,6,7,1,7,1,6,7,7,7,4,7,7,2,1,2,3,2,3,4,4,4,5,1,1,1,1,6,7,7,1,1,3,2,3,2,1,3,1,3,1,6,7,8,9,4,4,3,.394169620347785,.538352118707369,-1.38936092797183,1.26317473387174
80,1,63,1,10,1,19,15,1,12,2,4,2,6,2,5,6,6,7,2,7,7,2,3,3,4,3,6,3,5,4,3,3,2,2,2,5,6,6,2,4,5,2,6,4,2,3,2,2,4,6,1,1,5,4,5,3,.394169620347785,.538352118707369,.180102342514866,.504442937912773
81,1,33,1,3,1,17,3,1,4,4,3,2,2,4,4,2,1,4,5,5,3,4,3,3,5,2,3,5,5,5,6,4,3,5,2,3,4,5,2,6,5,2,5,4,2,5,3,2,1,1,8,6,7,4,5,7,.394169620347785,1.42590561171141,.964833977758214,.504442937912773
82,1,38,1,5,1,32,1,1,5,3,4,2,6,4,4,5,4,4,5,4,3,2,2,5,7,2,5,2,5,4,3,6,2,2,2,2, ,5,2,2,1,2,6,3,3,2,3,2,2,2,4,5,5,1,6,2,1.23035604039193,.538352118707369,-.604629292728481,1.26317473387174
83,1,38,1,5,1,21,5,1,1,3,5,3,5,3,5,5,5,5,5,5,5,3,3,3,5,3,5,3,3,3,3,2,2,2,2,3,4,4,3,3,3,3,3,3,2,5,2,2,3,3,6,6,6,2,2,2,.394169620347785,.538352118707369,.180102342514866,.504442937912773
84,1,36,1,4,1,21,4,1,20,1,1,1,7,1,1,1,1,7,1,7,1,7,7,7,7,7,7,1,1,1,1,7,7,7,7,1,1,1,7,7,7,6,7,7,7,7,7,2,1,1,7,7,9,5,1,5,1.23035604039193,.538352118707369,.180102342514866,1.26317473387174
85,1,25,1,1,2, ,1,1,1,5,5,5,6,6,6,5,5,5,6,6,5,6,7,7,6,6,7,6,6,7,6,1,6,6,6,6,7,6,6,6,6,6,7,6,4,3,1,2,2,2,1,2,5,6,8,8,.394169620347785,-.349201374296671,-.604629292728481,-1.01302065400516
86,1,51,1,15,1,15,20,1,6,2,5,2,7,2,3,3,5,6,3,6,5,3,3,3,4,3,5,4,4,4,3,3,2,2,2,5,5,5,2,2,3,2,3,3,3,4,3,2,6,6,7,5,5,6,6,6,1.23035604039193,.538352118707369,.180102342514866,.504442937912773
87,1,45,1,16,1,17,16,1,0,1,3,1,5,1,4,1,2,7,1,6,1,3,2,2,6,3,5,5,3,3,3,3,7,2,7,5,7,7,4,3,3,3,4,6,2,2,2,2,6,8,8,7,8,6,2,2,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
88,1,27,1,2,1,16,1,2,1,4,5,5,3,3,6,3,6,3,5,3,6,4,6,3,6,5,3,5,3,6,3,3,3,6,4,3,6,3,5,3,5,3,6,4,3,5,3,3,7,5,4,7,6,5,8,5,-1.27820321974051,1.42590561171141,.180102342514866,.504442937912773
89,1,36,1,10,1,15,50,3,20,1,5,1,6,1,1,4,5,7,1,7,5,1,1,2,3,1,4,7,2,3,2,4,1,1,1,7,7,7,1,1,1,1,1,1,7,2,1,4,7,9,9,9,9,3,3,1,1.23035604039193,1.42590561171141,-.604629292728481,1.26317473387174
90,1,61,1,1,1,23,1,1,0,4,6,1,3,1,4,1,4,5,1,4,3,4,6,7,7,7,7,7,7,6,7,5,1,2,2,7,6,6,3,3,7,4,7,6,2,2,2,2,1,1,3,1,1,2,2,2,.394169620347785,.538352118707369,.964833977758214,-1.01302065400516
91,1,26,1,3,1,18,5,1,4,5,7,7,6,6,5,4,7,6,6,7,7,6,6,6,6,7,4,5,5,5,5,6,7,7,7,3,3,5,7,7,7,7,6,7,5,1,1,2,2,3,8,8,8,5,5,7,1.23035604039193,.538352118707369,.964833977758214,.504442937912773
93,1,31,1,1,1,21,1,1,6,1,2,1,6,1,1,1,1,7,1,7,4,4,4,4,4,4,4,3,4,3,2,2,1,1,1,7,7,7,4,4,4,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,.394169620347785,.538352118707369,-.604629292728481,.504442937912773
94,1,32,1,3,1,18,3,1,5,2,2,1,3,2,2,1,2,2,1,1,3,4,2,4,3,5,2,6,4,3,3,3,4,6,3,5,3,7,6,4,2,3,6,3,4,4,2,2,4,3,5,7,5,3,2,2,-.44201679969636,1.42590561171141,1.74956561300156,-.254288858046192
96,1,76,2,4,1,14,20,0,0,2,2,2,6,2,3,3,2,4,2,4,1,3,3,5,5,3,5,5,5,5,5,3,1,1,1,7,7,7,1,1,1,1,1,1,1,3,1,1,6,6,9,1,1,1,1,1,-2.9505760598288,-2.12430836030475,-1.38936092797183,-2.53048424592309
97,1,67,1,20,1,17,12,1,2,1,6,1,6,1,1,1,6,6,1,6,6,2,2,3,3,3,7,7,7,7,7,6,6,2,3,6,7,7,1,1,3,2,3,3,1,1,1,2,6,7,9,8,9,4,4,4,-.44201679969636,-1.23675486730071,-.604629292728481,-.254288858046192
98,1,25,1,3,2, ,0,0,0,1,5,1,4,1,1,1,2,5,1,6,5,4,6,3,7,6,4,7,3,4,6,6,3,4,3,7,7,4,2,2,7,4,7,6,1,1,5,1,1,1,2,6,1,5,6,4,.394169620347785,-.349201374296671,.180102342514866,-.254288858046192
99,1,32,2,5,1,15,4,1,0,2,6,4,6,4,2,2,6,6,6,7,6,3,3,6,4,3,4,3,3,6,4,6,2,1,4,6,6,6,4,4,4,4,6,6,2,4,2,2,2,2,3,4,5,4,4,3,-.44201679969636,-1.23675486730071,-.604629292728481,-.254288858046192
100,1,48,1,11,1,15, ,1,12,1,7,1,7,1,7,4,7,6,1,7,4,1,1,1,4,1,4,5,1,1,2,4,1,1,3,4,2,4,1,1,2,1,4,1, ,4,1,2,9,9,5,9,9,7,2,7,1.23035604039193,2.31345910471545,2.53429724824491,2.0219065298307
101,1,33,1,8,1,14,26,1,20,1,1,1,7,1,1,3,1,5,3,6,3,1,1,1,1,1,1,1,1,1,4,5,3,4,3,2, ,2,1,1,4,2,3,2,4,5,4,2,9,8,4,1,2,1,1,1,1.23035604039193,1.42590561171141,.964833977758214,.504442937912773
103,1,33,1,15,1,15,9,1,25,1,2,1,5,1,2,1,4,6,1,5,5,2,2,2,5,2,6,4,5,5,3,5,3,3,2,6,6,6,2,2,3,3,3,2,2,5,3,2,2,4,8,8,6,7,6,3,1.23035604039193,.538352118707369,-.604629292728481,1.26317473387174
104,1,27,1,3,1,19,2,1,3,1,4,5,6,1,2,4,4,6,1,6,2,5,5,5,6,4,6,5,6,6,5,5,3,3,4,7,7,7,5,5,6,4,6,4,2,1,1,2,2,1,3,1,2,2,2,1,-.44201679969636,.538352118707369,.964833977758214,.504442937912773
107,1,36,1,7,1,16,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,4,5,6,7,5,3,6,6,4,4,7,7,7,2,2,4,6,5,4,3,5,4,2,1,2,7,2,3,2,3,2,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
108,1,28,1,5,2, ,0,0,0,6,6,2,5,2,2,2,2,2,2,3,5,2,3,3,6,6,6,2,2,2,2,4,2,2,2,2,2,2,2,5,3,3,5,5,5,3,3,1,1,1,1,1,8,3,2,2,-2.11438963978465,-2.12430836030475,-1.38936092797183,-1.77175244996412
109,1,25,1,4,1,19,2,1,5,1,2,1,5,1,1,1,2,7,1,7,3,3,3,4,7,3,7,7,7,4,7,5,3,1,7,7,7,7,3,3,4,3,7,2,1,2,1,2,1,1,3,1,1,1,1,1,.394169620347785,-.349201374296671,-1.38936092797183,-.254288858046192
111,1,25,1,2,1,19,2,2,3,6,5,4,5,5,6,4,5,5,5,6,5,2,2,3,3,2,4,3,3,3,3,5,1,1,2,2,2,3,3,2,2,2,4,4,5,5,4,3,2,2,5,8,7,6,6,6,-.44201679969636,-.349201374296671,.964833977758214,.504442937912773
112,1,49,2,6,1,21,6,1,0,2,7,1,7,1,6,1,7,4,1,4,2,2,2,2,2,2,2,5,5,4,3,3,1,1,2,5,6,6,1,1,3,2,5,2,1,5,1,2,1,1,4,3,5,7,7,7,1.23035604039193,.538352118707369,.964833977758214,-.254288858046192
113,1,28,1,2,1,27,2,1,1,5,2,5,6,6,7,6,6,4,5,2,3,2,2,3,1,2,3,2,1,2,2,5,4,2,1,2,2,3,2,2,4,3,2,1,6,5,6,2,2,3,3,5,1,2,3,2,.394169620347785,.538352118707369,.180102342514866,1.26317473387174
114,1,36,1,8,1,12,6,1,6,5,3,3,6,6,6,5,5,5,5,5,6,3,2,3,4,3,3,5,6,6,5,5,3,2,3,2,2,3,1,3,3,3,2,5,2,7,5,2,6,6,9,9,9,8,7,7,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
116,1,30,1,2,1,20,2,2,5,6,4,6,7,6,5,6,5,5,3,4,6,4,1,5,6,4,3,3,1,2,2,4,1,1,1,2,3,3,2,2,1,2,3,1,5,6,5,3,3,3,8,8,1,6,5,6,-.44201679969636,-.349201374296671,.180102342514866,2.0219065298307
117,1,28,1, ,1,13,4,1,4,5,6,5,6,7,7,7,5,7,6,6,4,2,1,5,1,1,6,3,3,2,4,4,2,3,3,4,1,4,3,2,7,2,3,2,2,4,5,2,3,3,2,4,8,7,5,7,.394169620347785,2.31345910471545,.964833977758214,.504442937912773
118,1,30,1,2,2, ,2,1,5,5,6,5,6,5,5,6,5,6,5,6,5,2,3,2,3,2,2,3,2,3,2,5,2,3,2,3,2,3,2,2,3,2,3,2,5,6,5,2,3,2,7,6,3,6,7,7,.394169620347785,.538352118707369,-.604629292728481,.504442937912773
119,1,38,2,10,1,15,15,2,6,4,2,4,6,3,4,2,2,4,2,5,3,3,3,3,4,2,6,4,5,4,3,2,6,4,6,6,6,7,4,3,4,4,3,2,1,4,1,3,5,6,9,5,8,4,4,4,.394169620347785,-.349201374296671,.180102342514866,.504442937912773
120,1,57,1,6,1,18,10,0,0,6,7,2,3,5,6,2,7,5,1,7,5,3,3,4,6,4,3,3,3,4,4,2,7,6,7,7,6,7,2,2,6,4,7,5,2,6,6,1,6,6,7,8,9,8,3,6,.394169620347785,-.349201374296671,.180102342514866,.504442937912773
121,1,26,2,12,1,15,13,1,0,6,7,7,7,4,7,6,7,7,5,7,6,2,2,6,3,2,3,6,5,6,6,5,2,3,3,3,1,3,1,1,1,1,3,4,1,7,5,2,6,6,9,9,9,9,9,9,1.23035604039193,.538352118707369,.964833977758214,2.0219065298307
124,2,42,1,5,1,17,8,1,1,1,6,1,4,1,1,4,6,4,1,4,6,3,4,4,4,4,3,2,2,4,3,2,3,3,4,6,6,6,3,3,4,3,4,1,1,1,1,2,3,3,9,9,5,3,3,3,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192
125,2,40,1,3,1,17,2,1,6,1,6,2,5,2,2,2,6,6,2,6,6,5,5,5,4,5,5,5,5,5,5,5,6,6,5,2,2,2,6,5,5,5,3,5,5,6,6,2,1,1,1,1,2,1,1,1,-.44201679969636,-.349201374296671,-.604629292728481,-.254288858046192
126,2,44,1,3,1,20,2,1,8,2,2,2,7,2,2,1,2,6,1,6,2,2,1,2,3,2,7,1,1,3,1,3,2,2,2,6,6,6,2,3,2,2,2,1,2,3,3,2,2,2,2,1,2,3,2,2,.394169620347785,.538352118707369,-1.38936092797183,.504442937912773
127,2,25,1,3,2, ,1,1,0,5,2,5,6,4,6,5,5,4,6,4,5,1,3,2,3,3,2,2,3,2,2,4,3,2,3,1,2,4,3,4,3,3,4,2,6,5,5,2,2,2,1,1,5,5,3,3,-.44201679969636,1.42590561171141,.964833977758214,-.254288858046192
128,2,25,1,5,1,14,5,1,0,4,6,5,5,4,6,3,5,7,1,7,7,6,6,6,5,5,5,6,5,6,6,6,7,4,5,2,1,1,4,5,5,4,3,6,6,6,6,2,4,4,9,9,9,3,3,1,1.23035604039193,1.42590561171141,.180102342514866,.504442937912773
131,2,29,2,1,1,20,11,1,0,1,1,1,7,1,2,4,1,7,2,7,1,7,7,7,4,4,7,7,7,7,7,7,1,3,3,7,7,7,1,1,7,7,7,7,7,7,1,2,4,2,9,5,8,9,5,3,1.23035604039193,-1.23675486730071,.964833977758214,.504442937912773
133,2,33,1,8,1,16,7,1,3,3,5,2,5,3,3,2,5,4,2,4,5,4,4,3,1,4,2,4,4,3,3,3,1,3,4,6,5,7,4,4,5,4,6,4,2,3,3,2,3,3,2,1,2,2,2,1,.394169620347785,-1.23675486730071,-1.38936092797183,-.254288858046192
134,2,39,1,5,1,18,5,1,6,2,5,2,7,2,5,3,5,6,2,4,5,3,2,4,5,2,3,3,2,5,3,3,2,1,2,6,6,7,3,3,5,3,5,3,2,3,2,2,3,3,6,4,4,2,2,3,-.44201679969636,.538352118707369,.180102342514866,-.254288858046192
135,2,43,1,4,1,15,4,1,8,3,1,1,6,2,1,4,1,6,3,6,1,6,6,5,6,6,7,6,5,4,5,7,7,7,5,6,1,1,7,7,5,5,7,7,7,4,5,2,4,1,1,1,1,6,5,1,-.44201679969636,-.349201374296671,.180102342514866,-1.01302065400516
136,2,28,1,1,1,16,1,1,3,1,5,1,4,1,1,1,4,5,1,6,4,3,3,4,6,4,7,7,7,7,7,5,1,1,4,6,7,7,4,4,3,2,7,4,1,1,1,2,1,1,5,1,1,2,1,1,-1.27820321974051,-1.23675486730071,-.604629292728481,-1.01302065400516
137,2,39,1,11,1,14,5,1,8,2,5,3,6,5,6,2,5,3,5,3,5,2,2,2,2,2,4,2,2,2,2,2,2,7,7,3,5,4,6,6,6,6,6,5,3,3,5,2,2,5,2,5,7,6,4,6,-.44201679969636,-1.23675486730071,-.604629292728481,-.254288858046192
138,2,27,1,10,1,17,10,1,10,2,5,1,7,1,1,1,7,7,1,7,5,2,4,4,4,4,2,6,7,7,6,7,1,1,1,6,7,7,2,2,6,4,6,3,4,2,6,2,4,2,7,2,4,1,1,1,-.44201679969636,.538352118707369,-1.38936092797183,-1.01302065400516
139,2,50,1,2,1,19,2,1,4,1,1,1,3,1,1,1,1,7,1,7,7,3,3,5,7,4,7,7,7,7,7,7,4,4,3,7,3,7,3,6,6,7,7,5,1,2,6,2,1,1,1,1,1,1,1,1,-2.11438963978465,-1.23675486730071,-1.38936092797183,-.254288858046192
141,2,27,1,100,1,21,1,1,10,2,3,4,4,4,4,3,4,3,4,3,4,1,2,3,4,4,4,5,5,4,2,6,3,3,3,2,3,3,3,3,3,2,3,2,5,5,6,2,2,2,9,1,9,3,4,3,.394169620347785,1.42590561171141,-.604629292728481,-.254288858046192
142,2,52,1,10,1,14,68,1,6,7,7,6,7,4,7,6,7,6,3,7,7,6,6,6,6,6,1,4,3,4,5,7,4,2,4,5,6,6,1,1,7,4,7,7,1,7,4,2,9,9,9,7,9,6,4,4,-.44201679969636,-.349201374296671,.180102342514866,-1.01302065400516
143,2,27,1,2,1,22,2,1,9,4,5,5,5,5,4,4,4,4,4,4,4,3,3,2,3,2,4,3,4,4,4,4,3,3,3,5,5,5,5,4,3,3,3,3,4,4,4,2,2,2,1,1,9,2,2,2,.394169620347785,-1.23675486730071,-.604629292728481,-.254288858046192
144,2,32,1,5,1,17,5,1,30,1,7,1,7,1,1,7,7,7,7,7,7,1,3,3,2,3,2,1,1,2,1,1,1,1,1,7,7,7,2,2,1,1,1,2,1,1,1,2,3,4,3,1,1,1,1,1,1.23035604039193,2.31345910471545,-1.38936092797183,2.0219065298307
146,2,57,1,7,1,18,6,1,0,1,7,1,5,1,1,1,7,7,1,7,6,4,4,5,7,7,4,5,5,4,5,1,1,1,7,7,7,7,7,7,7,4,7,3,1,1,1,2,1,1,5,1,4,1,1,1,-.44201679969636,-1.23675486730071,-.604629292728481,-1.01302065400516
147,2,42,1,8,1,14,20,4,4,3,5,1,7,1,2,2,4,6,2,6,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,5,7,7,1,1,2,2,1,2,1,4,2,5,2,4,9,9,9,4,5,2,.394169620347785,-1.23675486730071,-.604629292728481,-.254288858046192
148,2,63,1,5,1,20,1,1,2,1,1,1,5,1,1,1,1,4,1,5,5,3,3,3,7,4,6,5,3,4,3,2,1,1,4,6,6,7,3,4,4,4,7,2,1,1,4,2,1,1,2,1,1,2,1,1,-1.27820321974051,-1.23675486730071,-1.38936092797183,-1.01302065400516
149,2,38,1,5,1,14,20,1,4,2,5,1,5,1,1,1,7,4,1,3,6,2,1,1,1,1,2,1,1,1,1,1,7,5,4,2,1,1,3,2,1,2,1,1,2,4,4,2,8,7,6,2,3,5,1,2,.394169620347785,-.349201374296671,-.604629292728481,-1.01302065400516
150,2,33,1,3,1,19,5,1,0,5,2,2,3,2,1,5,2,6,2,6,1,4,2,2,3,2,2,5,5,5,4,3,6,6,7,7,7,7,3,3,2,2,5,2,2,2,2,2,1,2,6,1,4,2,1,1,-2.11438963978465,-1.23675486730071,-.604629292728481,-1.77175244996412
151,2,33,1,15,1,16,15,1,1,1,7,4,7,1,1,1,7,7,1,7,7,7,7,7,4,4,2,2,1,1,1,7,7,4,7,1,1,1,7,7,2,7,7,7,7,7,7,2,6,7,7,7,8,5,1,3,1.23035604039193,.538352118707369,-.604629292728481,1.26317473387174
152,2,36,1,2,1,18,2,1,1,2,5,5,6,6,2,2,6,6,6,6,6,4,4,4,4,4,3,3,3,3,2,6,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,1,1,1,2,1,1,1,.394169620347785,.538352118707369,-1.38936092797183,-.254288858046192
153,2,36,1,3,1,22,1,1,5,1,5,1,5,1,1,1,5,4,1,4,4,2,2,3,6,2,6,4,4,4,4,3,1,2,4,5,6,5,2,3,3,4,5,2,2,2,2,2,1,1,1,1,1,2,2,2,-.44201679969636,-.349201374296671,-1.38936092797183,-1.01302065400516
154,2,29,1,1,1,19,1,1,20,7,1,6,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,6,7,7,6,6,6,6,6,6,7,6,6,2,1,2,2,2,2,9,8,1,9,2,9,1.23035604039193,2.31345910471545,2.53429724824491,.504442937912773
155,2,33,1,10,1,16,7,1,2,6,4,5,7,5,3,5,5,7,3,7,3,6,6,6,6,6,7,5,3,2,2,2,6,6,7,1,1,4,7,7,5,7,7,7,6,1,2,2,4,2,6,1,2,1,1,1,1.23035604039193,-1.23675486730071,-1.38936092797183,1.26317473387174
156,2,44,2,6,1,20,3,1,0,6,6,2,5,2,5,6,6,7,4,7,6,2,2,2,3,2,6,3,2,3,2,5,1,1,1,6,5,6,2,2,3,1,3,2,2,2,2,2,3,3,1,1,2,2,2,2,-.44201679969636,-.349201374296671,.180102342514866,-.254288858046192
157,2,42,2,6,1,14,6,0,0,6,1,2,6,3,1,2,1,6,2,4,2,4,4,5,7,4,7,6,7,7,6,5,7,6,7,7,7,7,2,2,6,4,4,5,6,3,3,1,3,2,5,1,1,2,1,2,-2.11438963978465,-2.12430836030475,-1.38936092797183,-2.53048424592309
158,2,59,1,5,1,15,30,1,4,1,6,1,6,1,4,1,7,7,1,7,6,2,2,3,6,4,4,3,3,3,4,2,6,3,3,6,7,7,3,3,4,3,6,3,1,1,1,2,4,7,6,1,3,1,1,1,-.44201679969636,-.349201374296671,.180102342514866,.504442937912773
159,2,35,1,7,1,18,7,1,2,2,4,2,6,2,2,2,4,4,2,4,4,4,4,5,5,5,5,5,6,6,5,5,6,6,6,6,5,5,2,2,6,3,6,6,2,6,2,2,4,3,9,8,9,7,7,7,1.23035604039193,.538352118707369,.964833977758214,2.0219065298307
160,2,65,1,3,1,17,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,5,5,5,5,5,5,1,1,2,3,2,4,4,4,4, ,7,2,3,5,5,5,5,3,3,3,2,2,2,7,1,1,1,1,1,-2.11438963978465,-1.23675486730071, ,-.254288858046192
162,2,40,2,20,1,15,20,1,0,5,5,1,7,1,7,2,5,7,2,7,2,7,7,7,7,7,7,7,7,7,7,7,2,1,2,6,7,7,1,1,7,7,7,6,6,7,5,2,4,2,7,5,8,6,4,2,-1.27820321974051,-1.23675486730071,-.604629292728481,.504442937912773
163,2,31,1,1,1,17,1,1,0,3,5,1,3,1,1,1,5,5,1,4,5,3,4,5,6,4,5,7,7,7,6,6,1,2,3,7,7,7,2,3,6,4,7,3,1,5,5,2,1,1,7,1,1,4,3,2,-1.27820321974051,-1.23675486730071,-.604629292728481,-2.53048424592309
164,2,55,2,5,1,13, ,0,0,1,4,1,1,1,3,1,6,4,1,1,1,6,5,5,5,5,3,6,6,6,6,5,4,2,6,6,6,6,6,2,6,6,6,5,2,2,2,1,1,1,8,1,5,5,1,1,-2.9505760598288,-2.12430836030475,-1.38936092797183,-2.53048424592309
165,2,56,1,10,1,17,10,1,2,1,7,3,7,1,1,1,6,6,1,7,6,5,4,3,4,3,2,3,5,4,3,6,4,5,5,2,2,2,5,5,5,5,5,3,3,4,5,2,4,3,3,2,1,2,3,1,.394169620347785,-1.23675486730071,-1.38936092797183,-1.01302065400516
166,2,62,2,35,1,18,25,0,0,6,4,4,5,4,2,6,4,6,4,6,6,2,2,2,2,2,6,4,4,4,3,2,2,1,4,6,6,6,2,2,2,2,4,5,2,2,2,1,7,7,8,5,4,4,3,2,-1.27820321974051,-1.23675486730071,-.604629292728481,-1.01302065400516
