Participant,Sex,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
120,1,3,3,2,4,1,2,1,1,2,4,2,1
121,1,2,4,1,2,2,1,2,1,1,4,3,3
122,1,1,1,1,1,1,1,1,3,1,2,2,1
123,1,1,1,2,3,1,1,1,1,1,5,2,1
124,1,2,3,1,1,1,1,1,1,1,2,1,1
125,0,1,1,1,1,1,1,1,1,1,4,3,1
126,1,1,4,1,5,1,1,2,1,7,6,6,2
127,1,1,1,1,4,1,1,1,1,2,2,2,1
128,1,1,2,1,1,1,1,2,1,2,2,2,2
129,0,5,4,4,4,2,2,2,1,6,6,6,6
130,1,4,3,7,7,1,4,7,1,7,7,7,6
131,1,1,1,1,1,1,4,1,1,1,1,1,1
132,0,5,5,4,5,3,4,5,7,6,5,5,4
133,1,1,2,1,2,1,1,1,1,1,1,1,1
134,1,2,1,2,3,1,1,1,1,3,3,1,1
135,1,4,1,3,5,1,3,3,7,5,5,4,4
136,1,5,3,4,6,2,2,2,3,6,6,5,3
137,1,4,4,5,5,3,3,3,2,5,5,5,4
138,0,1,1,1,1,1,2,1,1,2,2,1,1
139,0,1,1,1,2,1,1,1,1,1,2,2,2
140,0,3,2,4,3,4,3,4,3,5,3,4,5
141,0,2,2,2,4,1,1,1,1,5,5,3,2
143,0,1,2,1,2,1,1,1,1,4,7,4,2
144,0,1,1,1,1,1,1,1,1,.3,4,2,1
145,1,1,1,1,4,1,1,1,1,2,2,1,1
146,1,1,1,7,1,1,4,1,1,4,1,1,1
147,0,1,1,1,1,1,1,1,1,3,7,5,1
148,0,4,3,5,5,2,1,2,6,5,4,3,4
149,0,1,1,1,3,1,1,1,1,2,2,1,2
150,1,4,4,4,5,1,1,2,1,2,4,3,4
151,1,2,2,2,2,1,1,2,1,2,1,1,1
152,0,1,1,1,2,1,1,1,1,3,1,1,1
153,1,4,3,3,4,2,2,2,2,3,5,5,1
154,1,1,1,1,1,1,1,1,1,1,1,1,1
155,0,2,6,2,5,3,2,3,3,5,4,3,6
156,0,5,6,6,6,6,5,3,2,3,4,3,2
157,0,1,1,1,1,1,1,1,1,2,1,1,1
158,0,2,1,1,2,1,1,1,1,4,6,6,2
159,1,4,2,3,2,2,2,2,2,2,2,2,2
160,1,1,4,2,2,1,1,1,1,3,1,1,1
161,1,3,3,3,3,2,1,3,1,2,3,3,1
162,1,2,3,2,3,7,2,2,2,7,2,2,2
163,1,1,3,1,3,1,1,1,1,1,3,3,1
164,0,4,4,2,7,1,4,1,1,7,4,6,2
165,0,1,1,1,5,1,1,1,1,5,1,6,1
166,0,3,2,2,5,5,4,3,2,4,4,2,5
167,0,2,1,3,4,1,1,1,1,3,4,2,1
168,0,1,3,2,5,2,1,1,1,6,4,4,4
169,0,2,2,2,6,2,2,2,4,6,6,5,2
170,0,1,1,1,7,1,1,1,1,7,7,7,1
171,1,2,2,3,3,1,1,3,1,4,2,2,1
172,0,1,1,1,3,5,1,2,4,5,6,6,4
173,0,3,3,3,4,2,2,2,2,4,5,5,4
174,0,1,1,2,4,1,1,1,1,4,6,7,7
175,1,5,5,4,3,1,1,2,1,5,5,5,2
176,0,1,1,1,5,1,1,1,1,3,3,3,1
177,0,2,3,2,4,3,3,3,3,3,4,4,4
178,0,3,1,1,7,1,1,1,1,1,1,1,1
179,1,3,2,3,4,1,2,2,2,5,5,4,2
180,1,3,4,2,6,2,3,3,1,2,5,3,2
181,1,4,4,3,3,1,1,1,1,4,4,3,2
182,1,5,4,2,4,1,2,1,1,2,4,4,4
183,1,3,3,3,3,3,2,4,4,5,3,3,2
184,1,2,1,3,3,1,1,1,1,2,7,2,2
186,0,4,6,4,3,3,3,4,3,6,5,5,4
187,1,1,1,1,1,1,1,1,1,1,1,1,1
188,1,1,3,2,3,1,1,1,2,4,3,1,2
189,1,1,1,1,1,1,1,1,1,1,2,1,1
190,1,2,2,1,2,1,1,1,1,4,2,2,2
191,1,2,2,3,3,1,1,2,1,1,2,1,1
192,1,1,1,1,3,1,1,1,1,3,1,1,1
193,0,2,2,2,6,2,2,1,3,5,6,5,1
194,1,4,3,4,2,2,2,4,5,5,4,4,4
195,1,1,1,2,2,1,1,1,1,5,2,2,2
196,1,2,2,3,3,2,2,2,2,3,4,3,3
197,1,4,3,3,5,3,3,2,1,4,4,3,3
198,1,2,2,2,2,1,1,1,1,5,2,1,1
199,1,4,5,3,7,1,1,1,1,3,5,4,3
200,1,3,3,2,3,1,1,1,1,1,2,5,2
201,0,5,1, ,7,1,1,1,1,4,4,4,4
202,1,1,1,1,1,1,1,1,1,1,2,1,1
203,1,1,1,2,2,1,1,1,1,3,3,3,1
204,1,3,3,1,4,1,1,1,1,3,3,1,1
205,1, , , , , , , , , , , , 
207,0,3,2,4,6,2,1,3,1,5,2,1,1
208,0,2,3,3,5,1,2,2,1,7,4,4,4
