Participant_ID,Participant_Sex,Participant_Age,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
74,1,69,1,1,1,1,1,5,1,1,2,1,1,1
75,1,30,2,2,1,3,1,1,1,1,3,1,1,1
76,1,30,2,2,2,4,2,2,2,2,4,4,6,2
77,1,25,3,4,6,4,3,6,5,4,5,3,2,2
78,1,34,2,2,2,5,2,3,2,3,5,5,5,4
79,1,27,1,1,1,3,1,1,1,1,5,3,1,1
80,1,63,4,1,1,7,1,1,1,1,4,6,6,4
81,1,33,4,4,4,2,4,5,3,2,3,6,6,2
82,1,38,6,6,5,4,3,5,5,4,5,4,4,5
83,1,38,3,3,3,4,2,3,2,3,4,5,4,3
84,1,36,1,1,1,1,1,1,1,1,1,1,1,1
85,1,25,6,7,2,2,2,4,5,5,6,6,5,7
86,1,51,2,3,2,5,2,2,2,1,4,4,5,4
87,1,45,2,2,1,1,1,6,6,1,7,6,3,1
88,1,27,3,6,2,6,4,5,2,5,4,5,3,5
89,1,36,2,1,1,4,1,1,1,1,6,5,1,1
90,1,61,2,2,1,1,1,1,2,1,3,2,1,2
91,1,26,2,4,3,5,1,1,3,2,6,5,4,1
93,1,31,1,1,1,1,1,1,1,1,1,1,1,1
94,1,32,5,5,7,4,6,5,6,4,5,7,5,3
96,1,76,1,1,1,4,1,1,1,1,1,1,1,1
97,1,67,2,2,2,6,2,5,5,3,5,6,5,4
98,1,25,2,1,4,1,5,3,1,1,4,6,5,4
99,1,32,1,3,1,3,4,1,1,1,7,7,7,1
100,1,48,1,1,1,7,1,1,1,1,4,2,1,1
101,1,33,1,1,1,7,1,1,1,1,7,7,4,1
103,1,33,2,2,2,2,2,2,2,2,3,3,3,2
104,1,27,1,1,1,1,1,1,1,1,4,5,2,4
107,1,36,1,1,1,1,1,1,1,1,1,1,1,1
108,1,28,5,3,3,3,3,3,5,5,5,5,2,5
109,1,25,1,1,3,1,1,1,3,1,5,1,1,1
111,1,25,4,4,5,6,5,5,5,4,5,6,3,4
112,1,49,1,1,1,7,1,3,2,1,7,4,1,1
113,1,28,5,6,5,6,6,5,7,5,6,5,6,6
114,1,36,3,5,5,6,2,3,5,3,5,5,3,5
116,1,30,5,6,3,5,6,4,4,5,6,5,4,5
117,1,28,5,7,6,1,3,5,6,5,5,7,3,4
118,1,30,5,6,5,6,5,6,5,6,5,6,5,6
119,1,38,1,1,1,1,1,1,1,1,3,2,1,1
120,1,57,2,2,4,6,2,3,3,2,6,5,4,2
121,1,26,3,4,1,7,6,1,1,1,2,7,6,1
124,2,42,1,1,1,1,1,1,1,1,3,4,2,1
125,2,40,2,2,2,5,5,2,2,2,6,5,5,2
126,2,44,5,2,2,5,2,3,2,2,2,5,1,2
127,2,25,3,2,3,4,2,2,5,3,6,5,4,2
128,2,25,3,4,2,3,3,2,3,3,2,3,2,5
131,2,29,2,3,4,1,1,1,3,1,1,4,4,4
133,2,33,2,2,2,2,2,2,2,2,2,2,2,2
134,2,39,2,3,2,5,2,3,1,1,4,5,1,1
135,2,43,2,2,2,4,2,2,2,2,3,4,3,2
136,2,28,1,1,5,5,1,1,5,1,1,5,1,1
