ID,Rel,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,PSAPNPnts,PSAPNProv,PSAPOpt1,PSAPOpt2,PSAPOpt3
113,1,2,2,2,2,2,2,2,5,3,2,2,2,9,18,2711,0,100
114,1,2,5,1,6,1,1,1,1,7,7,1,1,15,10,2521,290,360
115,2,5,3,2,5,1,1,2,1,2,2,1,6,14,16,3097,90,60
118,2,1,1,1,5,1,1,1,1,6,5,1,1,15,12,2748,290,380
119,1,1,1,1,1,1,1,1,1,3,1,1,1,18,11,2979,200,230
120,2,2,4,3,5,2,1,2,2,6,2,1,2,21,13,3429,200,190
122,2,2,3,3,3,1,2,2,1,1,2,1,2,22,9,3194,100,490
124,1,1,5,3,2,3,3,3,2,7,4,4,3,17,10,2719,200,180
125,2,4,2,2,3,3,3,1,2,4,3,1,3,13,13,2620,30,200
126,2,1,2,4,4,1,1,2,1,5,4,3,1,18,16,3468,90,250
127,2,1,1,1,1,1,1,1,1,1,1,1,2,12,16,2860,80,80
128,2,1,3,1,3,1,1,1,1,4,1,1,1,15,14,2994,40,60
130,1,3,2,1,4,2,3,1,1,3,3,2,3,26,11,3754,0,380
131,2,1,1,2,4,1,3,1,1,4,1,1,1,6,12,1841,300,190
132,1,1,4,1,5,1,2,2,1,4,1,1,1,14,12,2683,230,200
133,1,1,2,2,4,1,2,2,2,2,2,2,2,16,12,2808,120,280
134,2,7,6,4,4,1,2,5,1,4,5,1,3,2,22,2474,120,80
135,2,1,1,1,1,1,1,1,1,4,2,1,1,15,12,2755,50,160
